Date,SPY,LQD,IEF
2023-12-01,447.5337219238281,98.09877014160156,87.41974639892578
2023-12-04,445.1844482421875,97.65023803710938,87.05719757080078
2023-12-05,445.0967712402344,98.42829895019531,87.67073822021484
2023-12-06,443.3030700683594,98.79444122314453,88.03327941894531
2023-12-07,446.6856384277344,98.80357360839844,87.90312194824219
2023-12-08,448.6060791015625,98.27268981933594,87.3360824584961
2023-12-11,450.3509216308594,98.24523162841797,87.34537506103516
2023-12-12,452.4078369140625,98.80357360839844,87.53130340576172
2023-12-13,458.64654541015625,100.46040344238281,88.8327407836914
2023-12-14,460.1184997558594,101.52877807617188,89.57115936279297
2023-12-15,459.3609313964844,101.38176727294922,89.49657440185547
2023-12-18,461.94488525390625,100.95921325683594,89.30077362060547
2023-12-19,464.7539367675781,101.08780670166016,89.46858215332031
2023-12-20,458.3136291503906,101.35424041748047,89.90679931640625
2023-12-21,462.65936279296875,101.31749725341797,89.76693725585938
2023-12-22,463.589111328125,101.14292907714844,89.68305206298828
2023-12-26,465.54669189453125,101.35424041748047,89.73898315429688
2023-12-27,466.388427734375,102.3004379272461,90.43824005126953
2023-12-28,466.5646057128906,102.03401184082031,90.09327697753906
2023-12-29,465.21392822265625,101.65735626220703,89.86949157714844
2024-01-02,462.6103820800781,100.96839141845703,89.53385925292969
2024-01-03,458.8324279785156,100.73873901367188,89.7483139038086
2024-01-04,457.3544006347656,100.17835998535156,89.2075424194336
2024-01-05,457.9808654785156,99.8200912475586,88.8812255859375
2024-01-08,464.5189514160156,100.58257293701172,89.17957305908203
2024-01-09,463.8143005371094,100.75711059570312,89.14227294921875
2024-01-10,466.4373474121094,100.62849426269531,89.00243377685547
2024-01-11,466.2317810058594,101.23480987548828,89.4779281616211
2024-01-12,466.5548095703125,101.45529174804688,89.7203598022461
2024-01-16,464.84197998046875,100.4263916015625,88.99311065673828
2024-01-17,462.2580871582031,100.21511840820312,88.70407104492188
2024-01-18,466.3688049316406,100.02218627929688,88.50827026367188
2024-01-19,472.1826171875,100.12322235107422,88.5176010131836
2024-01-22,473.1809997558594,100.39881896972656,88.7879867553711
2024-01-23,474.56103515625,100.03137969970703,88.56420135498047
2024-01-24,475.07977294921875,99.83845520019531,88.3125
2024-01-25,477.6637268066406,100.49988555908203,88.69474792480469
2024-01-26,477.0569152832031,100.21511840820312,88.5362319946289
2024-01-29,480.8349304199219,100.62849426269531,89.06768798828125
2024-01-30,480.46295166015625,100.95001220703125,89.18891143798828
2024-01-31,472.6230773925781,101.20724487304688,89.93477630615234
2024-02-01,478.8088684082031,101.98992156982422,90.49183654785156
2024-02-02,483.8494873046875,101.058837890625,89.31417846679688
2024-02-05,482.08770751953125,100.09083557128906,88.44496154785156
2024-02-06,483.48736572265625,100.65318298339844,88.92162322998047
2024-02-07,487.5198059082031,100.3581771850586,88.76273345947266
2024-02-08,487.7351379394531,99.8418960571289,88.4729995727539
2024-02-09,490.553955078125,99.7128677368164,88.31409454345703
2024-02-12,490.338623046875,99.7220687866211,88.39823150634766
2024-02-13,483.58514404296875,98.62500762939453,87.42618560791016
2024-02-14,487.9798278808594,99.0859603881836,87.7533187866211
2024-02-15,491.3467712402344,99.44549560546875,87.99633026123047
2024-02-16,488.89990234375,99.0859603881836,87.61314392089844
2024-02-20,486.2082824707031,99.41783142089844,87.76268005371094
2024-02-21,486.6487121582031,99.16893005371094,87.48229217529297
2024-02-22,496.72015380859375,99.32564544677734,87.49163055419922
2024-02-23,497.062744140625,99.62065124511719,87.8935317993164
2024-02-26,495.24224853515625,99.30721282958984,87.76268005371094
2024-02-27,496.1622619628906,99.16893005371094,87.56639862060547
2024-02-28,495.5065002441406,99.15969848632812,87.88417053222656
2024-02-29,497.2878112792969,99.25190734863281,88.0617446899414
2024-03-01,501.95648193359375,99.85610961914062,88.46378326416016
2024-03-04,501.4181823730469,99.67105102539062,88.2669906616211
2024-03-05,496.4069519042969,100.21694946289062,88.81050872802734
2024-03-06,498.9223937988281,100.48528289794922,89.02604675292969
2024-03-07,503.8748779296875,100.73511505126953,89.1760025024414
2024-03-08,500.85052490234375,100.8739013671875,89.24159240722656
2024-03-11,500.41986083984375,100.89240264892578,89.12913513183594
2024-03-12,505.8030700683594,100.56856536865234,88.763671875
2024-03-13,505.01019287109375,100.46678924560547,88.5668716430664
2024-03-14,504.01190185546875,99.72655487060547,87.91088104248047
2024-03-15,500.5510559082031,99.75431823730469,87.76094818115234
2024-03-18,503.5259094238281,99.5877685546875,87.65784454345703
2024-03-19,506.3240661621094,99.87461853027344,87.91088104248047
2024-03-20,511.00726318359375,100.05967712402344,88.11705017089844
2024-03-21,512.6959228515625,100.20771789550781,88.12642669677734
2024-03-22,511.7239685058594,100.55005645751953,88.55750274658203
2024-03-25,510.3102111816406,100.20771789550781,88.32321166992188
2024-03-26,509.36767578125,100.17993927001953,88.45439910888672
2024-03-27,513.6483154296875,100.8739013671875,88.79178619384766
2024-03-28,513.5501098632812,100.78138732910156,88.70743560791016
2024-04-01,512.6566162109375,99.8163833618164,87.90479278564453
2024-04-02,509.39715576171875,99.66776275634766,87.71682739257812
2024-04-03,509.9566955566406,99.73278045654297,87.82022094726562
2024-04-04,503.73211669921875,99.84422302246094,88.12096405029297
2024-04-05,508.9944763183594,99.40769958496094,87.53824615478516
2024-04-08,509.2792053222656,99.39842987060547,87.34086608886719
2024-04-09,509.86834716796875,99.90925598144531,87.6886215209961
2024-04-10,504.762939453125,98.48820495605469,86.52318572998047
2024-04-11,508.5723876953125,98.28387451171875,86.40103149414062
